id,year,dow_dollars,snp500_dollars,tbm_dollars
0,2000,10000,10000,10000
1,2001,9287.039474,8695.731209,12164.29
2,2002,7730.122612,6663.889478,11240.88
3,2003,9686.694131,8421.849911,18906.64
4,2004,9992.759762,9179.265004,18489.81
5,2005,9931.369213,9454.736874,19120.15
6,2006,11548.11343,10742.41827,23204.66
7,2007,12294.48648,11123.69788,23417.28
8,2008,8136.229278,6844.472371,15529.11
9,2009,9671.977625,8452.22111,26505.17
10,2010,10735.3797,9520.179262,28313.34
11,2011,11328.95173,9520.027863,26659
12,2012,12147.43977,10785.44758,30995.98
13,2013,15366.25222,13978.07437,35067.54
14,2014,16526.12718,15591.35434,34109.96
15,2015,16157.05161,15478.06731,34720.41
16,2016,18345.10442,17001.64922,43161.6
17,2017,22818.89331,20188.48153,52007
18,2018,21455.8955,18857.89365,52152.66
19,2019,26554.84,24596.97,59964.22
