Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-14,128.62,130.09,128.34,128.8,3420225.0,0.0,1.0,128.62,130.09,128.34,128.8,3420225.0
2020-01-13,127.84,128.95,127.6306,128.54,3285729.0,0.0,1.0,127.84,128.95,127.6306,128.54,3285729.0
2020-01-10,127.58,128.17,126.92,127.28,2788965.0,0.0,1.0,127.58,128.17,126.92,127.28,2788965.0
2020-01-09,126.49,127.88,126.3903,127.81,2787064.0,0.0,1.0,126.49,127.88,126.3903,127.81,2787064.0
2020-01-08,124.05,126.36,123.8,125.54,3456793.0,0.0,1.0,124.05,126.36,123.8,125.54,3456793.0
2020-01-07,123.47,124.4,123.36,123.41,2042332.0,0.0,1.0,123.47,124.4,123.36,123.41,2042332.0
2020-01-06,123.37,124.16,123.1204,124.06,2853031.0,0.0,1.0,123.37,124.16,123.1204,124.06,2853031.0
2020-01-03,124.32,125.1,123.94,124.6,2090578.0,0.0,1.0,124.32,125.1,123.94,124.6,2090578.0
2020-01-02,124.66,126.27,124.23,125.85,2707979.0,0.43,1.0,124.66,126.27,124.23,125.85,2707979.0
2019-12-31,124.29,124.574,123.78,124.49,2340392.0,0.0,1.0,123.86677621159329,124.14980915426037,123.35851282863477,124.06609518530249,2340392.0
2019-12-30,125.2,125.46,124.18,124.3,2306453.0,0.0,1.0,124.77367754197023,125.0327922077922,123.75715077605322,123.87674216027874,2306453.0
2019-12-27,125.84,125.97,125.11,125.19,1788623.0,0.0,1.0,125.41149825783972,125.5410555907507,124.68398400380107,124.76371159328475,1788623.0
2019-12-26,124.98,125.437,124.53,125.41,1486575.0,0.0,1.0,124.55442667089008,125.00987052581564,124.10595898004435,124.9829624643649,1486575.0
2019-12-24,124.95,125.33,124.38,124.74,953540.0,0.0,1.0,124.52452882483371,124.9032348748812,123.95646974976242,124.31524390243902,953540.0
2019-12-23,125.74,125.74,123.7,124.49,3031399.0,0.0,1.0,125.3118387709851,125.3118387709851,123.27878523915109,124.06609518530249,3031399.0
2019-12-20,125.86,126.275,124.83,125.77,5825418.0,0.0,1.0,125.43143015521063,125.84501702565727,124.40493744060817,125.34173661704149,5825418.0
2019-12-19,124.18,124.895,123.88,124.83,2543557.0,0.0,1.0,123.75715077605322,124.46971610706366,123.45817231548938,124.40493744060817,2543557.0
2019-12-18,125.03,125.07,124.08,124.26,3154150.0,0.0,1.0,124.60425641431739,124.64412020905922,123.6574912891986,123.8368783655369,3154150.0
2019-12-17,123.99,125.4,123.2505,124.95,4325243.0,0.0,1.0,123.56779775102945,124.97299651567944,122.83081584573962,124.52452882483371,4325243.0
2019-12-16,125.65,126.33,123.342,123.68,3416062.0,0.0,1.0,125.22214523281596,125.8998297434273,122.9220042762116,123.25885334178018,3416062.0
2019-12-13,122.47,124.99,122.08,124.72,3918982.0,0.0,1.0,122.0529735508394,124.56439261957554,121.66430155210642,124.2953120050681,3918982.0
2019-12-12,120.6,123.07,120.05,122.64,2933319.0,0.0,1.0,120.18934114665821,122.65093047196704,119.64121396895787,122.22239467849224,2933319.0
2019-12-11,120.88,121.38,120.1,120.64,2009764.0,0.0,1.0,120.46838770985111,120.96668514412416,119.69104371238517,120.22920494140006,2009764.0
2019-12-10,120.45,121.47,120.03,120.9,2518152.0,0.0,1.0,120.0398519163763,121.05637868229331,119.62128207158695,120.48831960722205,2518152.0
2019-12-09,120.44,121.53,120.11,120.46,2885234.0,0.0,1.0,120.02988596769084,121.11617437440609,119.70100966107063,120.04981786506175,2885234.0
2019-12-06,120.21,121.44,119.91,120.61,3287597.0,0.0,1.0,119.80066914792523,121.02648083623693,119.50169068736142,120.19930709534367,3287597.0
2019-12-05,117.91,118.43,117.59,118.28,3128325.0,0.0,1.0,117.50850095026924,118.02673028191322,117.1895905923345,117.87724105163129,3128325.0
2019-12-04,117.31,118.54,117.0,117.94,2444140.0,0.0,1.0,116.91054402914159,118.13635571745328,116.6015996198923,117.53839879632562,2444140.0
2019-12-03,116.04,116.75,114.645,116.57,3845195.0,0.0,1.0,115.64486854608806,116.35245090275578,114.25461870446625,116.17306382641748,3845195.0
2019-12-02,120.31,120.355,117.07,117.26,5538216.0,0.0,1.0,119.90032863477985,119.94517540386443,116.67136126069052,116.8607142857143,5538216.0
2019-11-29,120.07,120.89,119.78,120.12,1961463.0,0.0,1.0,119.66114586632878,120.47835365853658,119.37213335445043,119.7109756097561,1961463.0
2019-11-27,120.0,120.36,119.35,120.33,2629692.0,0.0,1.0,119.59138422553056,119.95015837820715,118.9435975609756,119.92026053215078,2629692.0
2019-11-26,120.91,121.04,119.6,119.79,4600167.0,0.0,1.0,120.4982855559075,120.6278428888185,119.19274627811212,119.38209930313589,4600167.0
2019-11-25,119.14,120.6,119.14,120.6,2285404.0,0.0,1.0,118.73431263858093,120.18934114665821,118.73431263858093,120.18934114665821,2285404.0
2019-11-22,119.21,119.29,118.41,119.06,1629686.0,0.0,1.0,118.80407427937915,118.88380186886285,118.00679838454228,118.65458504909725,1629686.0
2019-11-21,119.29,119.47,118.4909,118.8,2707351.0,0.0,1.0,118.88380186886285,119.06318894520113,118.08742290940766,118.39547038327525,2707351.0
2019-11-20,119.83,120.23,118.93,119.3,2544144.0,0.0,1.0,119.42196309787772,119.82060104529617,118.52502771618626,118.8937678175483,2544144.0
2019-11-19,120.01,120.45,119.86,120.0,1891039.0,0.0,1.0,119.60135017421602,120.0398519163763,119.45186094393411,119.59138422553056,1891039.0
2019-11-18,120.56,120.85,119.4,119.66,2617876.0,0.0,1.0,120.14947735191637,120.43848986379473,118.99342730440291,119.2525419702249,2617876.0
2019-11-15,120.98,121.33,120.39,120.76,2341454.0,0.0,1.0,120.56804719670573,120.91685540069686,119.98005622426354,120.3487963256256,2341454.0
2019-11-14,120.0,120.98,119.8,120.93,1990576.0,0.0,1.0,119.59138422553056,120.56804719670573,119.39206525182135,120.51821745327844,1990576.0
2019-11-13,120.27,120.965,120.13,120.26,1838883.0,0.0,1.0,119.860464840038,120.55309827367755,119.72094155844155,119.85049889135256,1838883.0
2019-11-12,120.87,121.225,120.41,120.89,2012434.0,0.0,1.0,120.45842176116567,120.81221293949952,119.99998812163446,120.47835365853658,2012434.0
2019-11-11,120.76,121.81,120.51,120.9,1704102.0,0.0,1.0,120.3487963256256,121.39522093759899,120.09964760848908,120.48831960722205,1704102.0
2019-11-08,121.01,121.81,120.89,121.47,1984615.0,0.0,1.0,120.59794504276212,121.39522093759899,120.47835365853658,121.05637868229331,1984615.0
2019-11-07,120.27,122.43,120.1,121.28,2845041.0,0.0,1.0,119.860464840038,122.01310975609756,119.69104371238517,120.86702565726955,2845041.0
2019-11-06,118.89,119.72,118.89,119.69,2420671.0,0.0,1.0,118.48516392144441,119.31233766233765,118.48516392144441,119.28243981628127,2420671.0
2019-11-05,119.84,119.96,117.7567,118.77,2628878.0,0.0,1.0,119.4319290465632,119.55152043078871,117.35572295692111,118.36557253721887,2628878.0
2019-11-04,119.62,120.5,119.01,119.62,1954702.0,0.0,1.0,119.21267817548305,120.0896816598036,118.60475530566994,119.21267817548305,1954702.0
2019-11-01,118.41,119.45,118.17,119.14,2036492.0,0.0,1.0,118.00679838454228,119.04325704783022,117.76761561609122,118.73431263858093,2036492.0
2019-10-31,117.79,118.21,116.89,117.28,2507443.0,0.0,1.0,117.38890956604372,117.80747941083305,116.49197418435223,116.8806461830852,2507443.0
2019-10-30,117.44,118.17,116.86,118.07,2264204.0,0.0,1.0,117.04010136205258,117.76761561609122,116.46207633829584,117.6679561292366,2264204.0
2019-10-29,118.09,118.8342,117.075,117.42,2753014.0,0.0,1.0,117.68788802660754,118.42955392777952,116.67634423503326,117.02016946468166,2753014.0
2019-10-28,118.64,119.3,118.07,118.58,2551054.0,0.0,1.0,118.23601520430789,118.8937678175483,117.6679561292366,118.17621951219512,2551054.0
2019-10-25,116.36,118.51,116.27,118.26,2324665.0,0.0,1.0,115.9637789040228,118.1064578713969,115.87408536585365,117.85730915426038,2324665.0
2019-10-24,116.44,116.9,116.14,116.41,2621342.0,0.0,1.0,116.04350649350648,116.50194013303769,115.74452803294267,116.0136086474501,2621342.0
2019-10-23,118.42,119.23,115.51,116.49,3937591.0,0.0,1.0,118.01676433322774,118.82400617675007,115.11667326575864,116.0933362369338,3937591.0
2019-10-22,118.67,119.3498,118.29,118.61,3917049.0,0.0,1.0,118.26591305036426,118.9433982420019,117.88720700031676,118.2061173582515,3917049.0
2019-10-21,117.55,119.38,117.49,119.05,4320295.0,0.0,1.0,117.14972679759265,118.97349540703199,117.08993110547988,118.64461910041177,4320295.0
2019-10-18,119.73,119.98,116.67,116.76,6188096.0,0.0,1.0,119.32230361102313,119.57145232815965,116.2727233132721,116.36241685144124,6188096.0
2019-10-17,118.01,119.33,117.9581,119.1,3023690.0,0.0,1.0,117.60816043712386,118.92366566360468,117.5564371634463,118.69444884383908,3023690.0
2019-10-16,117.63,117.99,117.07,117.41,2147177.0,0.0,1.0,117.22945438707633,117.58822853975292,116.67136126069052,117.0102035159962,2147177.0
2019-10-15,117.03,118.1867,116.73,117.59,3071522.0,0.0,1.0,116.63149746594868,117.78425875039595,116.33251900538485,117.1895905923345,3071522.0
2019-10-14,116.14,117.0,115.94,116.39,1882325.0,0.0,1.0,115.74452803294267,116.6015996198923,115.54520905923344,115.99367675007919,1882325.0
2019-10-11,116.74,117.57,116.185,116.4,2875905.0,0.0,1.0,116.34248495407031,117.16965869496356,115.78937480202724,116.00364269876465,2875905.0
