Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-14,180.92,182.545,180.21,181.37,2465773.0,0.0,1.0,180.92,182.545,180.21,181.37,2465773.0
2020-01-13,180.94,182.23,180.36,180.92,2090455.0,0.0,1.0,180.94,182.23,180.36,180.92,2090455.0
2020-01-10,181.61,182.18,180.14,180.47,2103818.0,0.0,1.0,181.61,182.18,180.14,180.47,2103818.0
2020-01-09,181.51,181.59,179.76,181.2,2746309.0,0.0,1.0,181.51,181.59,179.76,181.2,2746309.0
2020-01-08,178.0,181.5,177.65,180.63,2758311.0,0.0,1.0,178.0,181.5,177.65,180.63,2758311.0
2020-01-07,178.28,178.51,176.82,177.9,2172979.0,0.0,1.0,178.28,178.51,176.82,177.9,2172979.0
2020-01-06,177.15,178.71,176.35,178.62,1996293.0,0.0,1.0,177.15,178.71,176.35,178.62,1996293.0
2020-01-03,177.02,178.66,175.63,178.45,2466777.0,0.0,1.0,177.02,178.66,175.63,178.45,2466777.0
2020-01-02,177.68,180.01,177.1356,180.0,3601725.0,0.0,1.0,177.68,180.01,177.1356,180.0,3601725.0
2019-12-31,175.23,176.59,175.07,176.42,1573520.0,0.0,1.0,175.23,176.59,175.07,176.42,1573520.0
2019-12-30,177.26,178.9632,175.59,175.83,1715019.0,0.0,1.0,177.26,178.9632,175.59,175.83,1715019.0
2019-12-27,176.65,177.54,175.62,177.26,1472800.0,0.0,1.0,176.65,177.54,175.62,177.26,1472800.0
2019-12-26,176.45,176.66,175.5,176.59,1435217.0,0.0,1.0,176.45,176.66,175.5,176.59,1435217.0
2019-12-24,178.27,178.67,176.0419,176.68,1259530.0,0.0,1.0,178.27,178.67,176.0419,176.68,1259530.0
2019-12-23,176.71,179.18,176.56,178.47,4876175.0,0.0,1.0,176.71,179.18,176.56,178.47,4876175.0
2019-12-20,174.79,175.47,172.2,175.37,7506148.0,0.0,1.0,174.79,175.47,172.2,175.37,7506148.0
2019-12-19,169.62,172.58,169.15,172.15,2757585.0,0.0,1.0,169.62,172.58,169.15,172.15,2757585.0
2019-12-18,169.78,170.0,168.19,169.03,2270154.0,0.0,1.0,169.78,170.0,168.19,169.03,2270154.0
2019-12-17,170.35,171.79,169.21,169.93,2672643.0,0.0,1.0,170.35,171.79,169.21,169.93,2672643.0
2019-12-16,168.94,170.83,168.19,170.75,2917225.0,0.0,1.0,168.94,170.83,168.19,170.75,2917225.0
2019-12-13,169.62,171.1248,168.08,168.79,2098041.0,0.0,1.0,169.62,171.1248,168.08,168.79,2098041.0
2019-12-12,166.73,170.85,166.325,168.56,2872410.0,0.0,1.0,166.73,170.85,166.325,168.56,2872410.0
2019-12-11,168.38,168.84,167.33,168.74,1833347.0,0.0,1.0,168.38,168.84,167.33,168.74,1833347.0
2019-12-10,169.13,169.39,166.9703,167.66,2670462.0,0.0,1.0,169.13,169.39,166.9703,167.66,2670462.0
2019-12-09,169.4,171.26,168.79,169.83,2058246.0,0.0,1.0,169.4,171.26,168.79,169.83,2058246.0
2019-12-06,167.25,171.99,167.25,171.47,3879957.0,0.0,1.0,167.25,171.99,167.25,171.47,3879957.0
2019-12-05,167.22,167.87,162.7201,164.37,3309334.0,0.0,1.0,167.22,167.87,162.7201,164.37,3309334.0
2019-12-04,166.42,168.865,166.0,167.14,2139199.0,0.0,1.0,166.42,168.865,166.0,167.14,2139199.0
2019-12-03,166.5,166.6,164.4,165.17,2726832.0,0.0,1.0,166.5,166.6,164.4,165.17,2726832.0
2019-12-02,170.16,171.7,168.24,168.27,2342221.0,0.0,1.0,170.16,171.7,168.24,168.27,2342221.0
2019-11-29,170.43,170.58,169.26,169.77,942523.0,0.0,1.0,170.43,170.58,169.26,169.77,942523.0
2019-11-27,170.0,171.37,169.51,170.61,1331498.0,0.0,1.0,170.0,171.37,169.51,170.61,1331498.0
2019-11-26,169.8,170.25,168.71,169.23,2616977.0,0.0,1.0,169.8,170.25,168.71,169.23,2616977.0
2019-11-25,168.47,170.355,167.871,170.24,2761851.0,0.0,1.0,168.47,170.355,167.871,170.24,2761851.0
2019-11-22,165.5,167.75,165.0,167.6,3268311.0,0.0,1.0,165.5,167.75,165.0,167.6,3268311.0
2019-11-21,166.88,167.0,164.51,165.14,3605204.0,1.44,1.0,166.88,167.0,164.51,165.14,3605204.0
2019-11-20,169.79,170.0,167.15,167.77,2689463.0,0.0,1.0,168.32225117060872,168.53043582662986,165.70507263777165,166.31971305078642,2689463.0
2019-11-19,171.72,171.72,169.53,170.68,1791714.0,0.0,1.0,170.2355672949934,170.2355672949934,168.06449873934446,169.20455756993638,1791714.0
2019-11-18,170.79,171.195,169.17,170.54,2364618.0,0.0,1.0,169.31360667547125,169.71510565494057,167.70761075759395,169.0657677992556,2364618.0
2019-11-15,171.66,172.69,171.04,171.88,2616874.0,0.0,1.0,170.17608596470166,171.19718213471006,169.5614455516869,170.39418417577141,2616874.0
2019-11-14,169.98,172.32,169.93,170.93,1613887.0,0.0,1.0,168.5106087165326,170.8303805979109,168.4610409412895,169.45239644615202,1613887.0
2019-11-13,170.11,171.39,169.58,170.55,1830831.0,0.0,1.0,168.63948493216475,169.90841997838876,168.1140665145876,169.07568135430427,1830831.0
