Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-14,163.39,163.6,161.72,162.13,21825664.0,0.0,1.0,163.39,163.6,161.72,162.13,21825664.0
2020-01-13,161.76,163.31,161.26,163.28,18666414.0,0.0,1.0,161.76,163.31,161.26,163.28,18666414.0
2020-01-10,162.8235,163.22,161.18,161.34,20733946.0,0.0,1.0,162.8235,163.22,161.18,161.34,20733946.0
2020-01-09,161.835,162.215,161.03,162.09,20485766.0,0.0,1.0,161.835,162.215,161.03,162.09,20485766.0
2020-01-08,158.93,160.8,157.9491,160.09,27762026.0,0.0,1.0,158.93,160.8,157.9491,160.09,27762026.0
2020-01-07,159.32,159.67,157.32,157.58,21881740.0,0.0,1.0,159.32,159.67,157.32,157.58,21881740.0
2020-01-06,157.08,159.1,156.51,159.03,19214320.0,0.0,1.0,157.08,159.1,156.51,159.03,19214320.0
2020-01-03,158.32,159.945,158.06,158.62,21121681.0,0.0,1.0,158.32,159.945,158.06,158.62,21121681.0
2020-01-02,158.78,160.73,158.33,160.62,22634546.0,0.0,1.0,158.78,160.73,158.33,160.62,22634546.0
2019-12-31,156.77,157.77,156.45,157.7,18393383.0,0.0,1.0,156.77,157.77,156.45,157.7,18393383.0
2019-12-30,158.9865,159.02,156.73,157.59,16356720.0,0.0,1.0,158.9865,159.02,156.73,157.59,16356720.0
2019-12-27,159.45,159.55,158.22,158.96,18414352.0,0.0,1.0,159.45,159.55,158.22,158.96,18414352.0
2019-12-26,157.5511,158.73,157.4,158.67,14526927.0,0.0,1.0,157.5511,158.73,157.4,158.67,14526927.0
2019-12-24,157.48,157.71,157.115,157.38,8989150.0,0.0,1.0,157.48,157.71,157.115,157.38,8989150.0
2019-12-23,158.12,158.12,157.27,157.41,17726283.0,0.0,1.0,158.12,158.12,157.27,157.41,17726283.0
2019-12-20,157.35,158.49,156.29,157.41,53599613.0,0.0,1.0,157.35,158.49,156.29,157.41,53599613.0
2019-12-19,154.0,155.77,153.75,155.71,25813825.0,0.0,1.0,154.0,155.77,153.75,155.71,25813825.0
2019-12-18,154.3,155.48,154.18,154.37,24132379.0,0.0,1.0,154.3,155.48,154.18,154.37,24132379.0
2019-12-17,155.45,155.71,154.45,154.69,25443527.0,0.0,1.0,155.45,155.71,154.45,154.69,25443527.0
2019-12-16,155.11,155.9,154.82,155.53,24152770.0,0.0,1.0,155.11,155.9,154.82,155.53,24152770.0
2019-12-13,153.1106,154.89,152.83,154.53,23850062.0,0.0,1.0,153.1106,154.89,152.83,154.53,23850062.0
2019-12-12,151.65,153.44,151.02,153.24,24645366.0,0.0,1.0,151.65,153.44,151.02,153.24,24645366.0
2019-12-11,151.54,151.87,150.33,151.7,18860001.0,0.0,1.0,151.54,151.87,150.33,151.7,18860001.0
2019-12-10,151.29,151.89,150.765,151.13,16481060.0,0.0,1.0,151.29,151.89,150.765,151.13,16481060.0
2019-12-09,151.07,152.21,150.91,151.36,15282906.0,0.0,1.0,151.07,152.21,150.91,151.36,15282906.0
2019-12-06,150.99,151.87,150.27,151.75,16410400.0,0.0,1.0,150.99,151.87,150.27,151.75,16410400.0
2019-12-05,150.05,150.32,149.48,149.93,17880601.0,0.0,1.0,150.05,150.32,149.48,149.93,17880601.0
2019-12-04,150.14,150.1799,149.2,149.85,17580617.0,0.0,1.0,150.14,150.1799,149.2,149.85,17580617.0
2019-12-03,147.49,149.43,146.65,149.31,25192145.0,0.0,1.0,147.49,149.43,146.65,149.31,25192145.0
2019-12-02,151.81,151.83,148.32,149.55,27473616.0,0.0,1.0,151.81,151.83,148.32,149.55,27473616.0
2019-11-29,152.1,152.3,151.28,151.38,11977300.0,0.0,1.0,152.1,152.3,151.28,151.38,11977300.0
2019-11-27,152.33,152.5,151.52,152.32,15201293.0,0.0,1.0,152.33,152.5,151.52,152.32,15201293.0
2019-11-26,151.36,152.42,151.32,152.03,24635100.0,0.0,1.0,151.36,152.42,151.32,152.03,24635100.0
2019-11-25,150.0,151.35,149.92,151.23,22428585.0,0.0,1.0,150.0,151.35,149.92,151.23,22428585.0
2019-11-22,150.07,150.3,148.82,149.59,15841680.0,0.0,1.0,150.07,150.3,148.82,149.59,15841680.0
2019-11-21,149.4,149.8,148.501,149.48,18576083.0,0.0,1.0,149.4,149.8,148.501,149.48,18576083.0
2019-11-20,150.31,150.84,148.46,149.62,25720060.0,0.51,1.0,150.31,150.84,148.46,149.62,25720060.0
2019-11-19,150.88,151.33,150.195,150.39,23960164.0,0.0,1.0,150.36745220808632,150.81592353293814,149.68477919136748,149.87911676546992,23960164.0
2019-11-18,150.07,150.55,148.98,150.34,21554762.0,0.0,1.0,149.5602038233531,150.03857323652835,148.47390661426763,149.82928661826418,21554762.0
2019-11-15,148.93,149.99,148.27,149.97,23508807.0,0.0,1.0,148.4240764670619,149.48047558782392,147.76631852394593,149.4605435289416,23508807.0
2019-11-14,147.02,148.41,147.0,148.06,19755100.0,0.0,1.0,146.52056484380205,147.90584293612204,146.50063278491976,147.55703190568175,19755100.0
2019-11-13,146.74,147.4625,146.28,147.31,17444230.0,0.0,1.0,146.24151601944982,146.961561646573,145.78307866515686,146.80957969759544,17444230.0
2019-11-12,146.28,147.57,146.06,147.07,18648712.0,0.0,1.0,145.78307866515686,147.06869646306535,145.56382601745156,146.5703949910078,18648712.0
2019-11-11,145.34,146.42,144.73,146.11,14370178.0,0.0,1.0,144.8462718976887,145.92260307733298,144.23834410177847,145.61365616465733,14370178.0
2019-11-08,143.98,145.99,143.76,145.96,16752939.0,0.0,1.0,143.49089189369212,145.4940638113635,143.27163924598682,145.46416572304005,16752939.0
2019-11-07,143.84,144.88,143.77,144.26,17786715.0,0.0,1.0,143.35136748151604,144.38783454339574,143.28160527542798,143.76994071804435,17786715.0
2019-11-06,144.37,144.52,143.2,144.06,16575798.0,0.0,1.0,143.87956704189705,144.0290574835143,142.71354159728236,143.57062012922134,16575798.0
2019-11-05,144.97,145.02,143.905,144.46,18250172.0,0.0,1.0,144.4775288083661,144.52735895557186,143.4161466728835,143.9692613068674,18250172.0
2019-11-04,144.83,145.0,144.16,144.55,16911999.0,0.0,1.0,144.33800439619,144.50742689668954,143.67028042363285,144.05895557183777,16911999.0
2019-11-01,144.26,144.42,142.965,143.72,33128366.0,0.0,1.0,143.76994071804435,143.9293971891028,142.47933990541532,143.2317751282222,33128366.0
2019-10-31,144.9,144.93,142.99,143.37,24605135.0,0.0,1.0,144.40776660227803,144.4376646906015,142.5042549790182,142.88296409778192,24605135.0
2019-10-30,143.52,145.0,142.79,144.61,18496591.0,0.0,1.0,143.0324545393992,144.50742689668954,142.30493439019517,144.11875174848467,18496591.0
2019-10-29,144.08,144.5,142.65,142.83,20589469.0,0.0,1.0,143.59055218810366,144.009125424632,142.16540997801906,142.34479850795978,20589469.0
2019-10-28,144.4,145.67,143.51,144.19,35280137.0,0.0,1.0,143.9094651302205,145.17515086924664,143.02248850995804,143.70017851195632,35280137.0
2019-10-25,139.34,141.14,139.2,140.73,25959724.0,0.0,1.0,138.8666542329981,140.66053953240524,138.72712982082194,140.25193232531805,25959724.0
2019-10-24,139.39,140.42,138.67,139.94,37278399.0,0.0,1.0,138.91648438020383,139.94298541264237,138.19893026044096,139.46461599946713,37278399.0
2019-10-23,136.88,137.45,135.61,137.24,31380309.0,0.0,1.0,136.4150109904749,136.98307466862053,135.14932525144877,136.7737880503564,31380309.0
2019-10-22,138.97,140.01,136.26,136.37,27935270.0,0.0,1.0,138.49791114367548,139.53437820555519,135.79711716512355,135.90674348897625,27935270.0
2019-10-21,138.45,138.5,137.01,138.43,20078066.0,0.0,1.0,137.97967761273563,138.0295077599414,136.5445693732099,137.95974555385334,20078066.0
2019-10-18,139.76,140.0,136.56,137.41,30650850.0,0.0,1.0,139.2852274695264,139.52441217611405,136.0960980483581,136.94321055085592,30650850.0
2019-10-17,140.95,141.42,139.02,139.69,22102797.0,0.0,1.0,140.47118497302338,140.93958835675747,138.54774129088125,139.21546526343835,22102797.0
2019-10-16,140.79,140.99,139.53,140.41,20841687.0,0.0,1.0,140.31172850196498,140.511049090788,139.05600879237994,139.93301938320124,20841687.0
2019-10-15,140.06,141.79,139.81,141.575,19917762.0,0.0,1.0,139.58420835276095,141.30833144608008,139.33505761673217,141.09406181309532,19917762.0
2019-10-14,139.69,140.29,139.52,139.55,13591639.0,0.0,1.0,139.21546526343835,139.81342702990742,139.0460427629388,139.07594085126226,13591639.0
2019-10-11,140.12,141.03,139.5,139.68,25551065.0,0.0,1.0,139.64400452940785,140.5509132085526,139.0261107040565,139.20549923399722,25551065.0
2019-10-10,138.49,139.6699,138.25,139.1,18396605.0,0.0,1.0,138.01954173050026,139.19543354426168,137.78035702391261,138.62746952641044,18396605.0
2019-10-09,137.46,138.7,136.97,138.24,20178482.0,0.0,1.0,136.9930406980617,138.2288283487644,136.5047052554453,137.77039099447148,20178482.0
2019-10-08,137.08,137.76,135.62,135.67,26783336.0,0.0,1.0,136.61433157929795,137.2920215812962,135.1592912808899,135.20912142809564,26783336.0
2019-10-07,137.14,138.18,137.02,137.12,16601284.0,0.0,1.0,136.67412775594485,137.71059481782456,136.55453540265106,136.65419569706256,16601284.0
2019-10-04,136.75,138.25,136.42,138.12,23839548.0,0.0,1.0,136.28545260773996,137.78035702391261,135.95657363618196,137.65079864117766,23839548.0
2019-10-03,134.95,136.75,133.22,136.28,26379798.0,0.0,1.0,134.49156730833278,136.28545260773996,132.76744421501365,135.81704922400587,26379798.0
2019-10-02,136.25,136.37,133.5799,134.65,32001763.0,0.0,1.0,135.78715113568242,135.90674348897625,133.1261216146007,134.19258642509826,32001763.0
2019-10-01,139.66,140.25,137.0,137.07,22581929.0,0.0,1.0,139.1855671751149,139.7735629121428,136.53460334376874,136.6043655498568,22581929.0
2019-09-30,138.05,139.215,137.78,139.03,18430390.0,0.0,1.0,137.5810364350896,138.74207886498368,137.31195364017853,138.5577073203224,18430390.0
2019-09-27,140.15,140.36,136.645,137.73,22498958.0,0.0,1.0,139.6739026177313,139.8831892359955,136.1808092986079,137.26212349297276,22498958.0
2019-09-26,139.44,140.18,138.44,139.54,17813512.0,0.0,1.0,138.9663145274096,139.70380070605478,137.9697115832945,139.0659748218211,17813512.0
2019-09-25,137.5,139.958,136.03,139.36,22544054.0,0.0,1.0,137.0329048158263,139.48255485246122,135.5678984879771,138.8865862918804,22544054.0
2019-09-24,140.36,140.69,136.88,137.38,30016670.0,0.0,1.0,139.8831892359955,140.21206820755347,136.4150109904749,136.91331246253247,30016670.0
2019-09-23,139.23,139.63,138.44,139.14,17408374.0,0.0,1.0,138.7570279091454,139.15566908679145,137.9697115832945,138.66733364417505,17408374.0
2019-09-20,141.01,141.65,138.25,139.44,40040766.0,0.0,1.0,140.53098114967028,141.16880703390396,137.78035702391261,138.9663145274096,40040766.0
2019-09-19,140.3,142.37,140.0736,141.07,36095413.0,0.0,1.0,139.82339305934858,141.88636115366683,139.59776215280093,140.59077732631718,36095413.0
2019-09-18,137.36,138.67,136.5299,138.52,24473386.0,0.0,1.0,136.89338040365018,138.19893026044096,136.06610029974024,138.0494398188237,24473386.0
2019-09-17,136.96,137.52,136.425,137.39,17976285.0,0.0,1.0,136.49473922600416,137.05283687470862,135.96155665090257,136.9232784919736,17976285.0
2019-09-16,135.83,136.7,135.66,136.33,16731440.0,0.0,1.0,135.36857789915408,136.2356224605342,135.1991553986545,135.86687937121164,16731440.0
2019-09-13,137.78,138.06,136.57,137.32,23363057.0,0.0,1.0,137.31195364017853,137.59100246453076,136.10606407779923,136.85351628588558,23363057.0
2019-09-12,137.85,138.42,136.87,137.52,27009981.0,0.0,1.0,137.38171584626656,137.94977952441218,136.40504496103378,137.05283687470862,27009981.0
2019-09-11,135.91,136.27,135.09,136.12,24726117.0,0.0,1.0,135.4483061346833,135.80708319456474,134.6310917205089,135.65759275294747,24726117.0
2019-09-10,136.8,136.8862,134.51,136.08,28903378.0,0.0,1.0,136.33528275494572,136.42118992872844,134.05306201292214,135.61772863518286,28903378.0
2019-09-09,139.59,139.75,136.46,137.52,25773932.0,0.0,1.0,139.11580496902687,139.27526144008527,135.9964377539466,137.05283687470862,25773932.0
2019-09-06,140.03,140.18,138.2,139.1,20390684.0,0.0,1.0,139.5543102644375,139.70380070605478,137.73052687670685,138.62746952641044,20390684.0
2019-09-05,139.11,140.3837,138.76,140.05,26119520.0,0.0,1.0,138.63743555585162,139.90680872577101,138.2886245254113,139.57424232331982,26119520.0
2019-09-04,137.3,137.69,136.48,137.63,18015310.0,0.0,1.0,136.83358422700329,137.22225937520815,136.01636981282888,137.16246319856126,18015310.0
2019-09-03,136.61,137.2,135.7,136.04,18880773.0,0.0,1.0,136.14592819556387,136.73392393259175,135.2390195164191,135.57786451741825,18880773.0
2019-08-30,139.15,139.18,136.27,137.86,23946123.0,0.0,1.0,138.6772996736162,138.70719776193968,135.80708319456474,137.39168187570775,23946123.0
2019-08-29,137.25,138.44,136.91,138.12,20179716.0,0.0,1.0,136.78375407979752,137.9697115832945,136.4449090787984,137.65079864117766,20179716.0
2019-08-28,134.88,135.76,133.55,135.56,17410828.0,0.0,1.0,134.42180510224472,135.29881569306602,133.09632318657165,135.099495104243,17410828.0
2019-08-27,136.39,136.72,134.66,135.74,23115635.0,0.0,1.0,135.9266755478585,136.2555545194165,134.20255245453941,135.27888363418373,23115635.0
2019-08-26,134.99,135.56,133.9,135.45,20325271.0,0.0,1.0,134.5314314260974,135.099495104243,133.44513421701194,134.98986878039034,20325271.0
2019-08-23,137.1897,138.35,132.8,133.39,38515386.0,0.0,1.0,136.72365892226736,137.88001731832412,132.34887097848534,132.93686671551322,38515386.0
2019-08-22,138.66,139.2,136.29,137.78,18709662.0,0.0,1.0,138.1889642309998,138.72712982082194,135.827015253447,137.31195364017853,18709662.0
2019-08-21,138.55,139.4935,138.0,138.79,14982314.0,0.0,1.0,138.07933790714716,139.01963278491976,137.53120628788383,138.31852261373476,14982314.0
2019-08-20,138.21,138.71,137.24,137.26,21188998.0,0.0,1.0,137.74049290614803,138.23879437820557,136.7737880503564,136.79372010923865,21188998.0
2019-08-19,137.855,138.55,136.885,138.41,24370543.0,0.0,1.0,137.38669886098714,138.07933790714716,136.4199940051955,137.93981349497102,24370543.0
2019-08-16,134.88,136.46,134.72,136.13,25026151.0,0.0,1.0,134.42180510224472,135.9964377539466,134.2623486311863,135.6675587823886,25026151.0
2019-08-15,134.39,134.58,132.25,133.68,28125416.0,0.0,1.0,133.93346965962832,134.1228242190102,131.800739359222,133.2258815693066,28125416.0
2019-08-14,136.36,136.92,133.67,133.98,32527251.0,0.0,1.0,135.8967774595351,136.45487510823952,133.21591553986545,133.52486245254113,32527251.0
2019-08-13,136.05,138.8,135.0,138.6,25496593.0,0.0,1.0,135.5878305468594,138.32848864317594,134.54139745553854,138.1291680543529,25496593.0
2019-08-12,137.07,137.86,135.24,135.79,20484348.0,0.0,1.0,136.6043655498568,137.39168187570775,134.78058216212617,135.32871378138947,20484348.0
2019-08-09,138.61,139.38,136.46,137.71,23466701.0,0.0,1.0,138.13913408379406,138.90651835076267,135.9964377539466,137.24219143409047,23466701.0
2019-08-08,136.6,138.99,135.93,138.89,27496508.0,0.0,1.0,136.1359621661227,138.5178432025578,135.46823819356558,138.41818290814626,27496508.0
2019-08-07,133.79,135.65,131.8284,135.28,33414539.0,0.0,1.0,133.33550789315927,135.18918936921335,131.38057155798307,134.82044627989077,33414539.0
2019-08-06,133.8,135.68,133.21,134.69,32696651.0,0.0,1.0,133.34547392260043,135.21908745753683,132.75747818557252,134.23245054286286,32696651.0
2019-08-05,133.3,133.9298,130.78,132.21,42749551.0,0.0,1.0,132.84717245054287,133.47483298474657,130.33573303137283,131.76087524145743,42749551.0
2019-08-02,138.09,138.32,135.26,136.9,30791624.0,0.0,1.0,137.6209005528542,137.85011923000067,134.80051422100846,136.43494304935723,30791624.0
2019-08-01,137.0,140.9383,136.93,138.06,40557502.0,0.0,1.0,136.53460334376874,140.45952471857723,136.46484113768068,137.59100246453076,40557502.0
2019-07-31,140.33,140.49,135.08,136.27,38598786.0,0.0,1.0,139.85329114767205,140.01274761873046,134.62112569106776,135.80708319456474,38598786.0
2019-07-30,140.14,141.2199,139.8005,140.35,16846528.0,0.0,1.0,139.66393658829014,140.74016810764005,139.3255898887631,139.87322320655431,16846528.0
2019-07-29,141.5,141.51,139.3663,141.03,16605870.0,0.0,1.0,141.01931659228669,141.02928262172784,138.8928648904283,140.5509132085526,16605870.0
2019-07-26,140.37,141.675,140.3,141.34,19037600.0,0.0,1.0,139.89315526543663,141.19372210750686,139.82339305934858,140.85986012122828,19037600.0
2019-07-25,140.43,140.61,139.3215,140.19,18356883.0,0.0,1.0,139.95295144208353,140.13233997202425,138.84821707853195,139.7137667354959,18356883.0
2019-07-24,138.9,140.74,138.85,140.72,20738275.0,0.0,1.0,138.42814893758745,140.26189835475924,138.37831879038168,140.24196629587692,20738275.0
2019-07-23,139.76,139.99,138.03,139.29,18034589.0,0.0,1.0,139.2852274695264,139.5144461466729,137.5611043762073,138.81682408579232,18034589.0
2019-07-22,137.41,139.19,137.33,138.43,25080760.0,0.0,1.0,136.94321055085592,138.7171637913808,136.86348231532673,137.95974555385334,25080760.0
2019-07-19,140.22,140.67,136.45,136.62,48992364.0,0.0,1.0,139.74366482381936,140.19213614867115,135.98647172450544,136.155894225005,48992364.0
2019-07-18,135.55,136.62,134.67,136.42,30808707.0,0.0,1.0,135.08952907480185,136.155894225005,134.21251848398055,135.95657363618196,30808707.0
2019-07-17,137.7,137.93,136.22,136.27,20210956.0,0.0,1.0,137.2322254046493,137.4614440817958,135.75725304735897,135.80708319456474,20210956.0
2019-07-16,138.96,139.05,136.52,137.08,22726128.0,0.0,1.0,138.48794511423435,138.5776393792047,136.0562339305935,136.61433157929795,22726128.0
2019-07-15,139.44,139.54,138.46,138.9,16651457.0,0.0,1.0,138.9663145274096,139.0659748218211,137.9896436421768,138.42814893758745,16651457.0
2019-07-12,138.85,139.13,138.0099,138.9,18936832.0,0.0,1.0,138.37831879038168,138.65736761473391,137.54107265703058,138.42814893758745,18936832.0
2019-07-11,138.2,139.22,137.87,138.4,22327942.0,0.0,1.0,137.73052687670685,138.74706187970426,137.40164790514888,137.9298474655299,22327942.0
2019-07-10,137.13,138.58,137.02,137.85,24204362.0,0.0,1.0,136.6641617265037,138.1092359954706,136.55453540265106,137.38171584626656,24204362.0
2019-07-09,136.0,136.97,135.8,136.46,19953097.0,0.0,1.0,135.53800039965364,136.5047052554453,135.33867981083063,135.9964377539466,19953097.0
2019-07-08,136.4,137.1,135.3701,136.96,16779748.0,0.0,1.0,135.9366415772997,136.63426363818024,134.91024020515556,136.49473922600416,16779748.0
2019-07-05,135.94,137.33,135.72,137.06,18141140.0,0.0,1.0,135.47820422300674,136.86348231532673,135.2589515753014,136.59439952041566,18141140.0
2019-07-03,136.8,137.74,136.295,137.46,13629296.0,0.0,1.0,136.33528275494572,137.27208952241392,135.83199826816758,136.9930406980617,13629296.0
2019-07-02,136.12,136.59,135.34,136.58,15237843.0,0.0,1.0,135.65759275294747,136.12599613668155,134.88024245653767,136.11603010724042,15237843.0
2019-07-01,136.63,136.7,134.97,135.68,22654160.0,0.0,1.0,136.16586025444616,136.2356224605342,134.5114993672151,135.21908745753683,22654160.0
2019-06-28,134.57,134.6,133.1558,133.96,30042969.0,0.0,1.0,134.11285818956904,134.1427562778925,132.70346230600148,133.50493039365884,30042969.0
2019-06-27,134.14,134.71,133.51,134.15,16557482.0,0.0,1.0,133.68431892359953,134.25238260174518,133.05645906880704,133.69428495304072,16557482.0
2019-06-26,134.35,135.74,133.6,133.93,23657745.0,0.0,1.0,133.8936055418637,135.27888363418373,133.1461533337774,133.4750323053354,23657745.0
2019-06-25,137.25,137.59,132.73,133.43,33327420.0,0.0,1.0,136.78375407979752,137.12259908079665,132.27910877239725,132.97673083327783,33327420.0
2019-06-24,137.0,138.4,137.0,137.78,20628841.0,0.0,1.0,136.53460334376874,137.9298474655299,136.53460334376874,137.31195364017853,20628841.0
2019-06-21,136.58,137.73,136.46,136.97,36727892.0,0.0,1.0,136.11603010724042,137.26212349297276,135.9964377539466,136.5047052554453,36727892.0
