Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-14,115.47,116.2099,115.13,116.18,6245506.0,0.0,1.0,115.47,116.2099,115.13,116.18,6245506.0
2020-01-13,116.38,116.55,115.37,115.88,6112067.0,0.0,1.0,116.38,116.55,115.37,115.88,6112067.0
2020-01-10,117.24,117.34,115.98,116.38,6054752.0,0.0,1.0,117.24,117.34,115.98,116.38,6054752.0
2020-01-09,116.15,117.37,116.0806,117.36,5563504.0,0.0,1.0,116.15,117.37,116.0806,117.36,5563504.0
2020-01-08,116.3,116.73,115.68,116.16,5875310.0,0.0,1.0,116.3,116.73,115.68,116.16,5875310.0
2020-01-07,117.26,117.515,116.2,116.56,6849343.0,0.0,1.0,117.26,117.515,116.2,116.56,6849343.0
2020-01-06,117.4,118.09,116.77,117.65,6438004.0,0.0,1.0,117.4,118.09,116.77,117.65,6438004.0
2020-01-03,118.27,118.7886,117.59,117.89,5399237.0,0.0,1.0,118.27,118.7886,117.59,117.89,5399237.0
2020-01-02,118.86,119.89,118.7016,118.94,6764370.0,0.0,1.0,118.86,119.89,118.7016,118.94,6764370.0
2019-12-31,119.5,119.8,118.19,118.84,4911917.0,0.0,1.0,119.5,119.8,118.19,118.84,4911917.0
2019-12-30,119.8,119.81,119.13,119.4,2945811.0,0.0,1.0,119.8,119.81,119.13,119.4,2945811.0
2019-12-27,119.94,119.94,119.245,119.59,3543788.0,0.0,1.0,119.94,119.94,119.245,119.59,3543788.0
2019-12-26,119.61,119.85,118.95,119.52,4223757.0,0.0,1.0,119.61,119.85,118.95,119.52,4223757.0
2019-12-24,119.13,119.6,119.01,119.51,2227423.0,0.0,1.0,119.13,119.6,119.01,119.51,2227423.0
2019-12-23,120.2,120.69,119.01,119.03,4485806.0,0.0,1.0,120.2,120.69,119.01,119.03,4485806.0
2019-12-20,121.48,122.12,120.02,120.29,7953401.0,0.0,1.0,121.48,122.12,120.02,120.29,7953401.0
2019-12-19,119.94,120.505,119.78,120.08,4464089.0,0.0,1.0,119.94,120.505,119.78,120.08,4464089.0
2019-12-18,121.51,121.68,119.84,119.86,5102313.0,0.0,1.0,121.51,121.68,119.84,119.86,5102313.0
2019-12-17,120.95,121.7,120.7,121.28,4575814.0,0.0,1.0,120.95,121.7,120.7,121.28,4575814.0
2019-12-16,120.42,121.3498,120.42,120.54,5350733.0,0.0,1.0,120.42,121.3498,120.42,120.54,5350733.0
2019-12-13,119.16,120.65,119.02,120.29,5366337.0,0.0,1.0,119.16,120.65,119.02,120.29,5366337.0
2019-12-12,119.0,120.11,118.68,119.76,4149020.0,0.0,1.0,119.0,120.11,118.68,119.76,4149020.0
2019-12-11,119.4,119.65,118.53,119.0,3350958.0,0.0,1.0,119.4,119.65,118.53,119.0,3350958.0
2019-12-10,119.35,119.56,119.02,119.14,4282255.0,0.0,1.0,119.35,119.56,119.02,119.14,4282255.0
2019-12-09,119.57,119.86,119.1844,119.36,4815996.0,0.0,1.0,119.57,119.86,119.1844,119.36,4815996.0
2019-12-06,119.08,119.8,118.92,119.78,4340785.0,0.0,1.0,119.08,119.8,118.92,119.78,4340785.0
2019-12-05,118.36,118.775,117.42,118.66,4352768.0,0.53,1.0,118.36,118.775,117.42,118.66,4352768.0
2019-12-04,119.12,119.2,118.304,118.69,5556631.0,0.0,1.0,118.5903112677238,118.66995553318232,117.77793976004699,118.1622233408843,5556631.0
2019-12-03,118.4,118.96,117.77,118.67,6756434.0,0.0,1.0,117.87351287859721,118.43102273680677,117.24631428811142,118.14231227451968,6756434.0
2019-12-02,119.15,119.38,117.84,119.28,5670363.0,0.0,1.0,118.62017786727075,118.84915513046396,117.31600302038763,118.74959979864083,5670363.0
2019-11-29,119.14,119.97,119.0,119.09,3157316.0,0.0,1.0,118.61022233408843,119.43653158822049,118.47084486953604,118.56044466817687,3157316.0
2019-11-27,119.39,119.8,118.73,118.76,3433212.0,0.0,1.0,118.85911066364628,119.26728752412114,118.20204547361357,118.2319120731605,3433212.0
2019-11-26,118.96,119.3,118.45,119.19,6292148.0,0.0,1.0,118.43102273680677,118.76951086500546,117.92329054450877,118.66,6292148.0
2019-11-25,120.0,120.02,117.9,118.92,5881378.0,0.0,1.0,119.46639818776742,119.48630925413205,117.37573621948151,118.39120060407753,5881378.0
2019-11-22,120.15,120.3,119.27,119.36,3843083.0,0.0,1.0,119.61573118550214,119.76506418323684,118.73964426545851,118.82924406409934,3843083.0
2019-11-21,118.83,120.0,118.67,119.86,4301978.0,0.0,1.0,118.30160080543669,119.46639818776742,118.14231227451968,119.32702072321503,4301978.0
2019-11-20,120.21,120.48,118.4,119.13,5075025.0,0.0,1.0,119.67546438459601,119.94426378051851,117.87351287859721,118.60026680090611,5075025.0
2019-11-19,120.11,120.36,119.71,119.89,3714334.0,0.0,1.0,119.57590905277289,119.82479738233073,119.17768772548033,119.35688732276198,3714334.0
2019-11-18,118.45,120.867,118.24,120.25,6547953.0,0.0,1.0,117.92329054450877,120.32954291467405,117.71422434768017,119.71528651732528,6547953.0
2019-11-15,120.68,121.0,118.38,118.87,10133529.0,0.0,1.0,120.14337444416479,120.46195150599883,117.85360181223257,118.34142293816596,10133529.0
2019-11-14,124.6,125.38,119.51,120.65,22504031.0,0.0,1.0,124.04594345163184,124.82247503985234,118.97857706183406,120.11350784461784,22504031.0
2019-11-13,119.16,121.36,118.66,120.98,8009699.0,0.0,1.0,118.63013340045306,120.82035070056213,118.13235674133736,120.4420404396342,8009699.0
2019-11-12,119.6,120.0,118.8096,119.12,5062371.0,0.0,1.0,119.06817686047486,119.46639818776742,118.28129151774478,118.5903112677238,5062371.0
2019-11-11,118.7,119.63,118.28,119.04,4438614.0,0.0,1.0,118.17217887406662,119.09804346002181,117.75404648040943,118.5106670022653,4438614.0
2019-11-08,120.31,120.88,118.94,119.44,3832703.0,0.0,1.0,119.77501971641917,120.34248510781106,118.41111167044215,118.90888832955785,3832703.0
2019-11-07,120.0,120.92,119.54,120.23,4440348.0,0.0,1.0,119.46639818776742,120.38230724054031,119.008443661381,119.69537545096065,4440348.0
2019-11-06,118.83,119.62,118.71,119.5,3613249.0,0.0,1.0,118.30160080543669,119.0880879268395,118.18213440724892,118.96862152865174,3613249.0
2019-11-05,117.68,119.14,117.075,118.86,4212739.0,0.0,1.0,117.1567144894706,118.61022233408843,116.55440473194061,118.33146740498364,4212739.0
2019-11-04,118.4,119.11,117.17,117.57,4642893.0,0.0,1.0,117.87351287859721,118.58035573454148,116.64898229717258,117.04720362446514,4642893.0
2019-11-01,117.92,117.97,117.23,117.62,3762593.0,0.0,1.0,117.39564728584612,117.4454249517577,116.70871549626646,117.09698129037672,3762593.0
2019-10-31,117.93,118.28,116.83,117.26,4880562.0,0.0,1.0,117.40560281902845,117.75404648040943,116.3104941689739,116.73858209581341,4880562.0
2019-10-30,117.18,118.37,117.051,118.1,2995953.0,0.0,1.0,116.6589378303549,117.84364627905026,116.53051145230305,117.57484688312778,2995953.0
2019-10-29,118.5,118.73,117.08,117.15,4790070.0,0.0,1.0,117.97306821042034,118.20204547361357,116.55938249853176,116.62907123080797,4790070.0
2019-10-28,119.25,119.7,118.53,119.22,3404322.0,0.0,1.0,118.71973319909388,119.16773219229802,118.00293480996729,118.68986659954695,3404322.0
2019-10-25,119.0,119.3254,118.2,119.04,2564097.0,0.0,1.0,118.47084486953604,118.79479791928853,117.67440221495092,118.5106670022653,2564097.0
2019-10-24,119.15,119.5675,118.51,119.1,2921986.0,0.0,1.0,118.62017786727075,119.03582137763235,117.98302374360266,118.57040020135916,2921986.0
2019-10-23,119.17,119.85,118.69,119.35,2867230.0,0.0,1.0,118.64008893363537,119.31706519003272,118.1622233408843,118.81928853091702,2867230.0
2019-10-22,119.75,120.17,119.3887,119.58,2596192.0,0.0,1.0,119.21750985820958,119.63564225186677,118.85781644433258,119.04826579411024,2596192.0
2019-10-21,119.3,119.83,118.82,119.74,3472160.0,0.0,1.0,118.76951086500546,119.2971541236681,118.29164527225437,119.20755432502726,3472160.0
2019-10-18,120.45,120.6,119.13,119.14,5592284.0,0.0,1.0,119.91439718097156,120.06373017870627,118.60026680090611,118.61022233408843,5592284.0
2019-10-17,119.67,120.25,119.3581,119.84,3960525.0,0.0,1.0,119.13786559275107,119.71528651732528,118.82735251279469,119.30710965685041,3960525.0
2019-10-16,119.31,120.109,119.1,119.42,4144259.0,0.0,1.0,118.77946639818776,119.57491349945465,118.57040020135916,118.88897726319323,4144259.0
2019-10-15,119.33,119.99,118.87,119.53,5385156.0,0.0,1.0,118.79937746455239,119.45644265458512,118.34142293816596,118.99848812819867,5385156.0
2019-10-14,119.85,120.46,119.1,119.17,4600222.0,0.0,1.0,119.31706519003272,119.92435271415387,118.57040020135916,118.64008893363537,4600222.0
2019-10-11,119.92,120.71,118.72,120.24,6148892.0,0.0,1.0,119.38675392230893,120.17324104371171,118.19208994043125,119.70533098414296,6148892.0
2019-10-10,118.9,119.88,118.6,119.61,4397045.0,0.0,1.0,118.3712895377129,119.34693178957966,118.07262354224348,119.07813239365719,4397045.0
2019-10-09,118.18,119.3,118.02,118.93,3929994.0,0.0,1.0,117.6544911485863,118.76951086500546,117.49520261766926,118.40115613725985,3929994.0
2019-10-08,116.81,118.67,116.66,117.58,5546133.0,0.0,1.0,116.29058310260928,118.14231227451968,116.14125010487457,117.05715915764745,5546133.0
2019-10-07,118.1,118.2999,116.88,117.23,4753091.0,0.0,1.0,117.57484688312778,117.77385799144223,116.36027183488547,116.70871549626646,4753091.0
2019-10-04,116.4,118.3,116.19,118.16,4868670.0,0.0,1.0,115.88240624213441,117.77395754677406,115.6733400453058,117.63458008222166,4868670.0
2019-10-03,115.88,116.8,114.58,116.31,5334891.0,0.0,1.0,115.36471851665408,116.28062756942697,114.07049920295327,115.79280644349359,5334891.0
2019-10-02,117.4,117.55,115.61,116.12,6008048.0,0.0,1.0,116.87795956036581,117.02729255810051,115.09591912073161,115.60365131302962,6008048.0
2019-10-01,118.85,119.11,117.72,117.85,3740978.0,0.0,1.0,118.32151187180132,118.58035573454148,117.19653662219984,117.32595855356992,3740978.0
2019-09-30,118.67,119.44,118.56,118.68,3603882.0,0.0,1.0,118.14231227451968,118.90888832955785,118.03280140951422,118.15226780770199,3603882.0
2019-09-27,119.21,119.23,117.75,118.45,3434742.0,0.0,1.0,118.67991106636462,118.69982213272927,117.22640322174679,117.92329054450877,3434742.0
2019-09-26,118.8,119.55,118.19,118.3,3991199.0,0.0,1.0,118.27173420588976,119.0183991945633,117.66444668176861,117.77395754677406,3991199.0
2019-09-25,118.47,118.72,117.81,118.47,4629518.0,0.0,1.0,117.9432016108734,118.19208994043125,117.28613642084068,117.9432016108734,4629518.0
2019-09-24,118.25,119.86,118.01,118.4,7707774.0,0.0,1.0,117.7241798808625,119.32702072321503,117.48524708448696,117.87351287859721,7707774.0
2019-09-23,116.61,118.41,116.56,117.62,5906271.0,0.0,1.0,116.091472438963,117.8834684117795,116.04169477305143,117.09698129037672,5906271.0
2019-09-20,117.35,117.6407,116.8,116.98,11579806.0,0.0,1.0,116.82818189445423,117.11758924406409,116.28062756942697,116.45982716670862,11579806.0
2019-09-19,117.4,117.81,116.77,117.11,3395527.0,0.0,1.0,116.87795956036581,117.28613642084068,116.25076096988002,116.5892490980787,3395527.0
2019-09-18,116.91,117.23,116.18,117.16,4114314.0,0.0,1.0,116.39013843443242,116.70871549626646,115.66338451212351,116.63902676399026,4114314.0
2019-09-17,115.32,116.6884,115.2504,116.51,4776906.0,0.0,1.0,114.8072086584445,116.16952381911234,114.73791814749559,115.99191710713987,4776906.0
2019-09-16,116.54,117.17,115.38,115.57,6038744.0,0.0,1.0,116.0217837066868,116.64898229717258,114.86694185753838,115.05609698800234,6038744.0
2019-09-13,117.16,118.19,116.9501,117.43,5638427.0,0.0,1.0,116.63902676399026,117.66444668176861,116.4300601224935,116.90782615991276,5638427.0
2019-09-12,116.65,117.07,115.9,116.92,4471918.0,0.0,1.0,116.13129457169227,116.54942696534944,115.38462958301872,116.40009396761474,4471918.0
